Title,Author_URL,Author_Name,App_Version,Rating,Review,Date
Map update,https://itunes.apple.com/us/reviews/id409997762,"Flap, flap and away",4.50.0,4,The whole app and the way everything is set up down to being able to have a gps that shows the path to your bird is amazing. But if there’s a way to add in a feature that marks paths to landmarks or points of interest around the area of your scooter would be a really nice feature. Maybe something like adding a voice direction to the scooter to be hands free after marking the destination. That way you get to ride around on the cool scooter and then you can go around and check the local things out in a fast way. Otherwise perfect app.,9/4/19 13:56
Dishonest pricing,https://itunes.apple.com/us/reviews/id252579484,TheMollusc,4.50.0,1,"LA prices are now $.35 per minute. I just used Bird for the first time and was surprised at the cost, which was revealed only on the app just before starting the rental. I tried to find the cost online to confirm and it’s not posted anywhere. C’mon Bird, that’s just shady! With this scammy business practice, and $5 for a 10 minute ride, I’m happier walking that last mile.",9/4/19 06:14
Scooter Experience,https://itunes.apple.com/us/reviews/id604102508,Jipjj,4.50.0,5,"First experience, what a fun time! Thank You~",9/4/19 04:52
Customer support,https://itunes.apple.com/us/reviews/id251043351,bam_bam__,4.50.0,1,"Uber in general has the worst customer service I have ever experienced. Never have I ever had such a difficult time trying to report simple issues because if you lose service your app keeps your tab running and won’t let you report it after. After, go ahead and try calling, you’ll be on the line forever before you hear from someone and by then it wasn’t worth your time for the two dollars you overpaid. If this is going to continue to be a problem, I’ll just stop using bird and I’ll start using one of the many other scooter brands out there.",9/4/19 00:41
Price,https://itunes.apple.com/us/reviews/id234150789,Aasshleyyy92,4.50.0,3,Too expensive,9/3/19 22:26
Music,https://itunes.apple.com/us/reviews/id998246578,BigCat894,4.50.0,5,"Next step for bird. Add a few music options with small speaker on Bird scooter, for instance Rock, hip hop, country, pop, etc.",9/3/19 20:41
“Bird Lover”,https://itunes.apple.com/us/reviews/id573912545,FastFlower!,4.49.0,5,...I am! 😀,9/3/19 17:55
Bird doesn’t care about chargers,https://itunes.apple.com/us/reviews/id42562188,iiaggo,4.49.0,1,"I have had two weekends in a row not being paid by bird as a charger. Their charger support is slow and largely unavailable during the weekend. When their app doesn’t work they ask you to submit your charges so they can manually put them in. The problem with this is that they don’t own up to the issue being their app malfunctioning and they use this opportunity to not pay out what you have spent time and money collecting and charging. Like I said initially, this has happened twice on the weekend.

There is no phone support so you have to wait until they feel like responding. The first weekend they responded the next day and the second weekend they responded quicker but still with no payout after  following their manual submission guidelines. 

I even had a “watcher” (bird employee)9 help me unload the scooters and he took a photo as well, they still didn’t put out. 

Beware of these scam artist",9/3/19 16:58
Didn’t want to walk to my parked car,https://itunes.apple.com/us/reviews/id910245847,HoneyLove728,4.49.0,5,Loved it !,9/3/19 04:15
Keep charging at twenty,https://itunes.apple.com/us/reviews/id208517583,negarbee10,4.49.0,1,I got the bird app while in san diego to ride somehow it went on a setting charging twenty dollars each time...I complained once how im only in town for a bit and don't need that much credit...they reimbursed me any who it happened again and there is no simple way to change it now i'm stuck with 16 dollars in credit I will never be able to use...I still cant figure out how to change the setting its sad NOT HAPPY😢no one it chat setting will help either at this moment it just ruins the ride for someone who cares about there $$$$ its no good!!,9/3/19 03:11
Great ride,https://itunes.apple.com/us/reviews/id567480520,deechrismx,4.49.0,5,A apparatus to hold up the phone to help w navigation could help it be more user friendly.,9/3/19 03:04
Scoooterrr,https://itunes.apple.com/us/reviews/id134371762,PrettyBlackWoman,4.49.0,5,Love this little speedy,9/3/19 01:39
$20 charge each month .????,https://itunes.apple.com/us/reviews/id548037651,E-opinion,4.49.0,1,"I see second month they charge my credit card !! What for ? I used service once ! 
What is this charged for ? How to stop it ?",9/3/19 00:44
Easy,https://itunes.apple.com/us/reviews/id232278345,4f3495cfc,4.49.0,5,"Great, Easy way to get around town. As with anything that has low oversight, the masses do a nice job of respecting the public. Few don’t and park right in the middle of the sidewalk",9/3/19 00:31
Stops working in the middle of the ride,https://itunes.apple.com/us/reviews/id412321259,SwagSupernova,4.49.0,1,"I’ve used bird twice and both times the machine stopped working in the middle of my ride and I had to walk to my destination. Could be fun way to get to point A to B, but I would know about that using bird. They get an F from me.",9/3/19 00:24
Bird is the best!,https://itunes.apple.com/us/reviews/id782220027,DJMONSTERG82,4.49.0,5,I had a blast! Love the Bird Scooters! I rented Five each of us drove our own! It was so fun!,9/3/19 00:18
Practical,https://itunes.apple.com/us/reviews/id233863280,4x4paper,4.49.0,5,Easy set up very easy to ride specially the new scooter the perfect transportation in Santa Monica,9/2/19 21:26
App very unstable —-crashes frequently mid transaction,https://itunes.apple.com/us/reviews/id37803345,Eli Hertz,4.49.0,2,"The current version of the app (v4.49.0) running on an iPhone 8 with iOS 12.4.1 is very unstable in the “charger” mode. It crashes and shuts down when attempting to capture a bird. This morning (9/2) it crashed 3 times in a row during release bird sequence. It crashes and shuts down the app repeatedly after successfully scanning birds and after taking the picture of parked birds at the release spot. I spent 10 minutes trying to get it to work , only was able to compete the release after shutting the phone off and restarting everything. Will not continue to charge birds until the problem is identified and fixed as it is too frustrating and time consuming",9/2/19 15:11
Fun!,https://itunes.apple.com/us/reviews/id458151449,beavertank,4.49.0,5,Amazing time,9/2/19 13:50
You can’t remove your credit card info once you entered it into the app.,https://itunes.apple.com/us/reviews/id531533083,peymanlavin,4.49.0,1,The first problem I noticed was that I am not able to remove my credit card once you entered your information into the app. You have to contact developers and ask them to remove your info which is very weird.,9/2/19 04:10
The best,https://itunes.apple.com/us/reviews/id1045850350,thatsmejamie,4.49.0,5,So much fun!!,9/2/19 03:30
Yes!!!!,https://itunes.apple.com/us/reviews/id14909591,psmitty1,4.49.0,5,Super fun downtown Denver scooter cruise!!,9/2/19 02:02
Good,https://itunes.apple.com/us/reviews/id918252265,JamKK12534,4.49.0,5,Fun experience but too much wasting of time and money on locking and unlocking,9/2/19 00:53
Bird is the word,https://itunes.apple.com/us/reviews/id655080753,dorinagain,4.49.0,5,Super fun easy ride,9/2/19 00:47
So easy and convenient to use the app and go!,https://itunes.apple.com/us/reviews/id102027234,Foyaboya,4.49.0,5,I love riding these scooters! They’re always in good shape and feel very strong and sturdy! Great way to get to where your going when on foot...plus it’s nice to feel the wind in your hair lol!,9/2/19 00:32
Ride,https://itunes.apple.com/us/reviews/id277024091,Joek45,4.49.0,5,Had a great time loved it.,9/1/19 21:17
Omg so fuuuuunnnn,https://itunes.apple.com/us/reviews/id570869162,bird_lord42069,4.49.0,5,Byrd wuz fuhn,9/1/19 04:25
Horrible,https://itunes.apple.com/us/reviews/id367720718,Best ballet game,4.49.0,1,"I picked up a bird near me, out of the riding range where its supposed to be and it let me unlock it, but wont let me ride it because its not in the riding area. I am currently being charged because it wont let me lock it and i dont even get to ride it, AMAZING APP!",9/1/19 02:58
Slow zones,https://itunes.apple.com/us/reviews/id623683476,phishyTom,4.49.0,5,I understand the need for the slow ride zones but it would be cool if you didn’t park them where I still have to walk a half mile to start riding.,8/31/19 23:45
Belt Line,https://itunes.apple.com/us/reviews/id607678549,Jucao1978,4.49.0,5,Amazing ride,8/31/19 22:45
Great,https://itunes.apple.com/us/reviews/id198410795,Brand.ien12166,4.49.0,5,Easy to use app pretty cool app too well designed,8/31/19 21:40
Dumb app!,https://itunes.apple.com/us/reviews/id214490553,Dggiugggddderbbhhddddd,4.49.0,1,Why are you wasting my time putting reserved bikes on the map? Get out of my life.,8/31/19 17:21
Bad,https://itunes.apple.com/us/reviews/id1058264742,MoodyTL,4.49.0,1,Charged me extra,8/31/19 04:26
Would not start.,https://itunes.apple.com/us/reviews/id8973068,cpatrav,4.49.0,1,Got charged,8/31/19 01:10
Amazing and fun,https://itunes.apple.com/us/reviews/id434449808,PPPtm,4.49.0,5,This thing was so fast and so cool I would definitely be using it again,8/30/19 23:39
Terminated me for NO REASON still have SCOOTERS in our possession,https://itunes.apple.com/us/reviews/id500350913,dissappointed bird charger,4.49.0,1,"My boyfriend and I collected scooters it was fine until the app would freeze every single time we even opened it. One day the app just took 2 of the scooters we had captured from our task list, we tried contacting them soo many times and they NEVER responded. The next day the messages we had written to ask them about the problems we were having, were no longer there. They DELETED all the conversations; yet we still had/have these scooters at home. NO ANSWER.   My boyfriend went to pick up scooters and the app logged him out and said he was no longer elegible to use the bird app.   They terminated his account without even letting him know.   The 2 scooters are still in our possessions.   NO ONE GIVES US ANSWERS.  That was just a waste of our time and his gas.  Scooters remain in our home because we did CAPTURE them   Until they TERMINATED his account. 
    You guys should AT LEAST pay us our $12 and then terminate us",8/30/19 05:17
Slow,https://itunes.apple.com/us/reviews/id445213806,el tony 11111,4.49.0,1,Very slow ride. Maxed out at 7.2,8/30/19 04:48
Overcharged,https://itunes.apple.com/us/reviews/id87108022,Joe162534blue,4.49.0,5,"I got overcharged by $30 because Bird did not let me park the scooter and end my ride. 

My ride was parked next to other Ride scooters.",8/30/19 04:23
Better than lime,https://itunes.apple.com/us/reviews/id337663539,dhnaishdbd,4.49.0,5,Faster and smoooooth. Enough said,8/30/19 02:43
Byrd in paradise,https://itunes.apple.com/us/reviews/id249106608,Splorer63,4.49.0,5,The most fun evening I have had in a while.,8/30/19 01:29
Let’s do it again,https://itunes.apple.com/us/reviews/id149845954,Amigos Market,4.49.0,5,Good ride,8/30/19 01:18
Their scooters shut down randomly,https://itunes.apple.com/us/reviews/id238642958,mad at dominoes,4.49.0,1,"And after the scooter shuts down, for no reason, one has to spend another 1$ to restart it.  We've used the Bird scooters 3 times, and this has happened all 3 times!",8/30/19 01:01
Best Ride Ever,https://itunes.apple.com/us/reviews/id592052345,loveshaunb23,4.49.0,5,Good efficient way to and from work saves Gas!! And a lot of money,8/29/19 23:27
Can’t end rides,https://itunes.apple.com/us/reviews/id451589220,Poisoned pops,4.49.0,1,"This app will lead you to believe you’ve ended your scooter ride by pressing the “end ride” button on your phone and taking a photo but will continue to charge for you for the ride without your discretion. Not until you look at your phone again and see that it says you are “currently riding” will you notice they’ve snaked you by tricking into thinking your ride has ended. I had to take 3 separate photos of the scooter because it wouldn’t end the ride and wouldn’t say why. Scooter sat in front of my house for 25 minutes with my credit card still running. Glitchy, unresponsive app with horrible customer service that doesn’t respond. This app is a huge NO from me. Will be advising my family and friends to choose from one of the many other scooter apps.",8/29/19 17:05
Bird scooter rental,https://itunes.apple.com/us/reviews/id1009884206,rumpletimz,4.49.0,5,"Fun, easy, convenient, affordable, what else do I need to say.  I was in town (Indianapolis) for a 3 night stay while my wife was attending a seminar at the crown plaza union station.  We drove our own vehicle however using the bird scooter almost immediately became my choice of transportation for the entire stay.  I cannot say enough about your scooters.  I felt safe and they were extremely easy to get the hang.  Thank you for a fun aspect of our trip I that I never imagined!!  I will use again most certainly any time I’m in an area that has your scooters.

Tim Richard",8/29/19 11:57
Do not rely,https://itunes.apple.com/us/reviews/id463431304,guy2241,4.49.0,1,"If you have plans to go somewhere, do not rely on this thing to get you there any quicker. The app loves to malfunction at the best times. Was on my way to class Twice and it would unlock the ride and close it immediately. It kept giving me a message saying “unknown error”. I didn’t end up getting charged for unlocking but I missed class twice.",8/29/19 00:15
Horrible,https://itunes.apple.com/us/reviews/id42123152,clifwith1f,4.49.0,1,"Couldn’t use it when I needed. Out of range, not the “right time”. What good are you if you aren’t useful?",8/28/19 07:01
Great scooters,https://itunes.apple.com/us/reviews/id119477318,SharkieshaNaynay,4.49.0,5,🥰🥰🥰🥰,8/27/19 18:15
"Double the cost of other Scooters, but amazing support!",https://itunes.apple.com/us/reviews/id526322321,louieLouie21,4.49.0,2,"It is actually really annoying that Lime  is $1 to activate and $.15 cents a minute to use and Bird is $1 to activate and $.29 cents a minute to use. I would avoid Bird. Also, they don’t share the pricing until after you finish a ride. Besides that, their support is great!",8/27/19 14:34
Enjoyed use!,https://itunes.apple.com/us/reviews/id34699150,BraveDave68,4.49.0,5,"I used Bird while traveling to Nashville. However, when I returned home I could not recover the balance left on my account. This should be offered in the app.

***update** after leaving this review, I received an email from support with instructions on how to transfer my balance out. Support followed up and was very responsive and helpful. I am changing my review to five stars as they redressed my only complaint.",8/27/19 08:59
Horrible Experience,https://itunes.apple.com/us/reviews/id1026679055,baby k❤️❤️,4.49.0,1,I had to at least do one star to write a review but I would do zero stars if I could. So we rented the scooters and went to our location. Our location was in the “no parking zone” so we couldn’t park them near the restaurant. We had to ride out of the “no parking zone” and it was a long way away! Then two out of the three scooters shut off on the way out of the “no parking zone” so we had to drag them out! HORRIBLE!! Then Bird started to charge us extra money for NO reason. We were all furious!! Please do not rent a bird and if you do you will regret it!,8/27/19 03:19
Great!,https://itunes.apple.com/us/reviews/id622661967,neay rdier wber,4.49.0,5,Awesome,8/27/19 02:55
Card reloads automatically w no notice!,https://itunes.apple.com/us/reviews/id782251581,_ellieb,4.49.0,1,I’m not one to write reviews anywhere. I’m just to disappointed with Bird app. I seen It and thought it’d be cool for me and daughter to ride around the block. It reloaded my card without notice. I ended up being charged over $15 for one ride. Outrageous!!,8/27/19 02:52
Price gauging,https://itunes.apple.com/us/reviews/id392832977,tylernumber8,4.48.1,1,"This use to be fun, now it’s expensive. Will never use again.",8/26/19 02:10
Spend more money.,https://itunes.apple.com/us/reviews/id253323124,pizza king 28,4.48.1,5,"Super fun, highly recommend going to get the bonus ride time.",8/26/19 01:44
Broken scooter,https://itunes.apple.com/us/reviews/id27065691,Fallenloki,4.48.1,1,Scooter did not work and I was charged for the ride. There is no support to process refunds in the app. Disappointing experience.,8/25/19 23:33
Need a 2 person ride feature,https://itunes.apple.com/us/reviews/id15475617,MargsNMatt,4.48.1,5,I think you need the ability to add two bird rides on one phone.,8/25/19 22:30
Fabulous!,https://itunes.apple.com/us/reviews/id41460728,us4wrls,4.48.1,5,Great fun and a lifesaver for those who can’t do a lot of walking!!,8/25/19 21:27
Dr.Scoots,https://itunes.apple.com/us/reviews/id289597898,the scooter doctor,4.48.1,4,"The app is a little slow, but the scooters are a ton of fun.",8/25/19 17:26
Too unreliable WAY too much $&,https://itunes.apple.com/us/reviews/id1055216974,gsgeyehfbxks,4.48.1,1,"App says “free” . NO in app purchases . I understand I have to pay 1.00 to unlock and the .36 a minute to use. Why then was I charged 5.00. Into my iTunes and credit card. And I can’t applied to the ride. If I can find one that WORKS!  These companies are a flash in the pan, because if you break it down, it’s 20 percent more $$ than the car services. Especially if you use the scooter for errands etc . I could afford a monthly payment on a new car for the same cost of this. I won’t be using this app or service anymore. They don’t have enough federal laws or restrictions in place to control the price gouging. Soon enough most folks won’t pay 20 plus dollars for a 15 min little ride",8/25/19 06:10
Expensive,https://itunes.apple.com/us/reviews/id981017227,pugwink,4.48.1,3,Expensive than other organizations,8/25/19 02:41
Can't delete credit card,https://itunes.apple.com/us/reviews/id27785732,pilzmeister14,4.48.1,1,"Can't delete credit card without contacting customer service, which is ridiculously scummy.",8/25/19 00:55
Super convenient,https://itunes.apple.com/us/reviews/id909836111,jai 589B rzdr.,4.48.1,5,Fun experience,8/24/19 20:04
Charge,https://itunes.apple.com/us/reviews/id166603309,Chief O,4.48.1,1,I supposedly have a $17 credit according to recent email and now you are charging me $20 for about a 2-3 minute ride?,8/24/19 19:15
Bird Scooter,https://itunes.apple.com/us/reviews/id126647087,Jay 2019a,4.48.1,3,Too expensive,8/24/19 01:18
First timer,https://itunes.apple.com/us/reviews/id682618047,Manic210,4.48.1,5,I love it,8/24/19 01:02
CHARGED MORE,https://itunes.apple.com/us/reviews/id242430856,danideej,4.48.1,2,I was being charged more than each of my friends for the same time and distance. Even one guys was a minute longer yet I was still charged $1.50 more...,8/23/19 18:56
Good,https://itunes.apple.com/us/reviews/id740326640,RyanBevan35,4.48.1,5,Good,8/23/19 18:34
Charger,https://itunes.apple.com/us/reviews/id192700915,sandysiller19,4.48.1,2,Being a charger was actually fun for the first week! I went out trying to capture some birds and having a little competition made it more fun. Sometimes I would run into birds that were disappeared or unavailable for capture. But then the nests started disappearing from the map! Leaving me nowhere in San Fernando valley to drop these things off!!!!! I had to drop them off all the way in LA! Point in all I don’t think I will continue to be a charger if there’s no where to drop them off in my area even though I see the nests there and not full.,8/23/19 18:00
First time riding the scooter,https://itunes.apple.com/us/reviews/id288224959,bfloyd39,4.48.1,5,Love the app. I wish there was a way to scan in two bikes. Enjoyed the ride 😊,8/23/19 16:48
Complete ripoff,https://itunes.apple.com/us/reviews/id29621877,ronawidman,4.48.1,1,"$30 for pretty short ride. In my opinion charges not explained well.$25 to rent and$5app charge that I don’t understand. They can charge whatever they like, but be prepared fir a $30 charge fir 45 minutes.",8/23/19 05:11
Bird won’t work,https://itunes.apple.com/us/reviews/id909749344,kmaster07,4.48.1,2,I attempted to ride two birds before finding one that worked and I was charged for both first attempts. I would like to be reimbursed for the charge I can given for going nowhere or I probably won’t use this app again.,8/23/19 03:59
Needs some work,https://itunes.apple.com/us/reviews/id276737313,KikiBrah,4.48.0,3,Overall worse than other scooters,8/23/19 03:07
I can conect on my app to rent a scooter what I should do,https://itunes.apple.com/us/reviews/id19539566,barrazajam,4.48.1,1,"I can not connect to the app keep getting the message no network, what I should do",8/23/19 00:47
Sometimes the scooter doesn’t work right,https://itunes.apple.com/us/reviews/id554572861,scud137,4.48.1,1,It happened a couple times where I activated the scooter and it didn’t run and I was out couple bucks. It’s very frustrating:(,8/22/19 22:27
Bird eats Lime for lunch,https://itunes.apple.com/us/reviews/id975128259,Climate Activist4Warren'20,4.48.0,5,"I tried two Lime scooters today. The first had a dead battery. I tried to drop it off at USC, but the Lime app forced me to walk three blocks out of my way to drop it off. On the second Lime, the app wanted me to type my credit number over and over. Bird gave me no problems. Bird swiftly took me all the way to my destination on perfectly round tires!",8/22/19 05:01
On honey moon trip..,https://itunes.apple.com/us/reviews/id667505242,"love ""birds""..",4.48.0,5,Birds are always fun to ride..quick to get around while in a awesome town like San Diego.,8/21/19 23:59
Bad review,https://itunes.apple.com/us/reviews/id1063039320,raymondg.,4.48.0,1,This app is horrible they have taken money away from me twice already the first time I used it they tried to scam me I highly recommend not to use this app it is terrible I recommend to use lime that’s an app you could trust,8/21/19 22:35
A bit shaky,https://itunes.apple.com/us/reviews/id620818677,magyoyo,4.48.0,4,It was fun my first time .. but the starring wheel a bit shaky when try to ride,8/21/19 19:33
Timer,https://itunes.apple.com/us/reviews/id1062994420,DUMAMOFO,4.48.0,3,Timer started without my knowledge,8/21/19 19:08
Broken Bird everywhere,https://itunes.apple.com/us/reviews/id303573698,petedrose,4.48.0,1,No bird is working in my neighborhood after trying to scan seven of them in a row. Either low battery or broken. Pls fix your scooter and then deploy. Such a waste of time. Very disappointed.,8/21/19 08:47
Mala experiencia,https://itunes.apple.com/us/reviews/id567109150,rjkajsjsjaja,4.48.0,1,"Mucho problema para estacionar estaba en área de estacionamiento y no servía, muy mal servicio",8/21/19 02:08
Brett,https://itunes.apple.com/us/reviews/id349746477,bhaazy,4.48.0,1,"Bird scooters and all scooters must be banned permanently. These scooters have created a public health crisis and have made cities unwalkable by creating a massive hazard on every public sidewalk. How is it that PUBLIC sidewalks, paid for by the taxpayer, has been totally given over to private scooter companies. WE WANT OUR SIDEWALKS BACK. The ceo and entire executive team at Bird and every other scooter company should be imprisoned for decades for the damage they have caused our cities.",8/20/19 06:48
Trash app and experience,https://itunes.apple.com/us/reviews/id168722601,Irish Andi,4.48.0,1,Didn’t mention no ride zones in the instructions. It let us ride well into one and then we couldn’t park/end the ride and had to come nearly all the way back to where we started to be able to end the ride. The red zone didn’t even load in the map until after I parked it. What a horrible experience.,8/20/19 03:37
Great to get around on,https://itunes.apple.com/us/reviews/id631974540,patrickincc19,4.47.0,5,Much faster/fun than driving a car here in Culver City,8/19/19 15:43
Garbage company,https://itunes.apple.com/us/reviews/id1057619910,liandjamie,4.47.0,1,These scooters litter the streets and adults ride them like children. Riders are killed due to lack of education.,8/19/19 00:45
Blast,https://itunes.apple.com/us/reviews/id866776016,captaincowboy,4.47.0,5,Had a blast...🤠,8/18/19 23:17
Balance Auto Update,https://itunes.apple.com/us/reviews/id1061827970,yelrownerual,4.47.0,1,I have an unused balance bc it automatically charged me again??? Can I have it refunded?? So annoying.,8/18/19 15:47
This bird is a scam,https://itunes.apple.com/us/reviews/id313703058,Mohd Marjan bin Marsa,4.47.0,1,Literally eats all my money and the worst thing is that I only used for 5 min and suddenly it cost me 21 dollars ????!,8/18/19 05:12
Fun but..,https://itunes.apple.com/us/reviews/id799748253,hstoff597,4.47.0,4,Fun and convenient. But need to be able to rent multiple scooters on same payment.,8/18/19 00:37
GIVE ME MY MONEY BACK PLEASE,https://itunes.apple.com/us/reviews/id193235608,Mister Locksmith,4.47.0,3,"BEWARE: this thing does NOT tell you that it will take more of your money than you asked it to and DOES NOT delete your card information no matter how hard you try. IM POOR THAT MONEY MATTERS, PLEASE GIVE IT BACK.",8/18/19 00:02
Scooter fails to work.,https://itunes.apple.com/us/reviews/id151668740,Rwcronkster,4.47.0,1,App is fine but there is a trick to using these things. Never use when in a rush. I was traveling with my wife. One scooter would fail and the other keep going.,8/17/19 23:01
age,https://itunes.apple.com/us/reviews/id688865846,yeedefaultyboi,4.47.0,3,you should at least make it 13 and older so more people can ride the scooter or if a kid wants to ride it does it have to be parents supervision?,8/17/19 22:03
So much fun!!,https://itunes.apple.com/us/reviews/id1061516356,Bird Scooter Fan,4.47.0,5,"Cheap, easy way to get around town or visit your favorite local spots. High quality scooters that make your ride an amazing experience.
Thanks Bird",8/17/19 21:44
